,Line Type,Plan Type,Data Type,Promo Type,Model,Promo Value,Brand,Week,Date,Retailer,Type
0,NULL,Rate Plan,NULL,Tradein Bumpup,Samsung Galaxy Z Flip4,150,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Free Subscription,Samsung Galaxy Z Flip4,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Bundle,Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Free Subscription,Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Merchandise,Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Device Cost discount,Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Instant Discount,Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Cashback,Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Tradein Bumpup,Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Bundle,Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Merchandise,Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Gift Card,Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Rate Plan Discount(Max),Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Instant Discount,Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Cashback,Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Tradein Bumpup,Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Free Subscription,Samsung Galaxy S22 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Bundle,Samsung Galaxy S23 Ultra,15,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Free Subscription,Samsung Galaxy S23 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Merchandise,Samsung Galaxy S23 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Device Cost discount,Samsung Galaxy S23 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Instant Discount,Samsung Galaxy S23 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Cashback,Samsung Galaxy S23 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Tradein Bumpup,Samsung Galaxy S23 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Bundle,Samsung Galaxy S23 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Merchandise,Samsung Galaxy S23 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Gift Card,Samsung Galaxy S23 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Rate Plan Discount(Max),Samsung Galaxy S23 Ultra,144,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Instant Discount,Samsung Galaxy S23 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Cashback,Samsung Galaxy S23 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Tradein Bumpup,Samsung Galaxy S23 Ultra,50,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Free Subscription,Samsung Galaxy S23 Ultra,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Bundle,Samsung Galaxy S22+,14,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Free Subscription,Samsung Galaxy S22+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Merchandise,Samsung Galaxy S22+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Device Cost discount,Samsung Galaxy S22+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Instant Discount,Samsung Galaxy S22+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Cashback,Samsung Galaxy S22+,9,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Tradein Bumpup,Samsung Galaxy S22+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Bundle,Samsung Galaxy S22+,0,Samsung,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Merchandise,Samsung Galaxy S22+,0,Samsung,20,15-05-2023,Orange,Orange
